Image_Index,Original_Filename,Total_Vehicles,Motorcycles,Cars,Trucks
00187,187.jpg,8,3,3,2
00188,188.jpg,11,2,6,3
00189,189.jpg,10,3,5,2
00190,190.jpg,9,4,3,2
00191,191.jpg,12,8,3,1
00192,192.jpg,15,8,4,3
00193,193.jpg,12,4,6,2
00194,194.jpg,11,7,1,3
00195,195.jpg,5,3,0,2
00196,196.jpg,11,9,1,1
00197,197.jpg,12,4,4,4
00198,198.jpg,8,3,3,2
00199,199.jpg,12,8,3,1
00200,200.jpg,12,8,2,2
00201,201.jpg,12,7,2,3
00202,202.jpg,10,2,4,4
00203,203.jpg,15,10,4,1
00204,204.jpg,11,7,2,2
00205,205.jpg,17,10,4,3
00206,206.jpg,12,6,4,2
00207,207.jpg,10,6,3,1
00208,208.jpg,10,5,3,2
00209,209.jpg,7,4,1,2
00210,210.jpg,7,3,3,1
00211,211.jpg,9,1,4,4
00212,212.jpg,7,4,0,3
00213,213.jpg,8,5,3,0
00214,214.jpg,13,8,4,1
00215,215.jpg,11,5,5,1
00216,216.jpg,8,4,4,0
00217,217.jpg,11,8,2,1
00218,218.jpg,10,8,2,0
00219,219.jpg,10,7,3,0
00220,220.jpg,6,3,2,1
00221,221.jpg,7,7,0,0
00222,222.jpg,5,4,1,0
00223,223.jpg,10,6,2,2
00224,224.jpg,9,5,3,1
00225,225.jpg,7,5,1,1
00226,226.jpg,7,6,1,0
00227,227.jpg,8,5,2,1
00228,228.jpg,10,3,6,1
00229,229.jpg,13,4,8,1
00230,230.jpg,10,5,5,0
00231,231.jpg,12,6,5,1
00232,232.jpg,14,7,6,1
00233,233.jpg,9,1,6,2
00234,234.jpg,10,4,3,3
00235,235.jpg,8,4,3,1
00236,236.jpg,11,5,5,1
00237,237.jpg,9,4,3,2
00238,238.jpg,13,6,4,3
00239,239.jpg,9,6,2,1
00240,240.jpg,10,7,0,3
00241,241.jpg,13,10,1,2
00242,242.jpg,11,7,2,2
00243,243.jpg,11,7,2,2
00244,244.jpg,13,9,3,1
00245,245.jpg,16,11,4,1
00246,246.jpg,9,5,3,1
00247,247.jpg,12,6,4,2
00248,248.jpg,10,6,3,1
00249,249.jpg,15,10,4,1
00250,250.jpg,14,8,5,1
00251,251.jpg,14,6,6,2
00252,252.jpg,10,5,3,2
00253,253.jpg,9,4,2,3
00254,254.jpg,11,4,3,4
00255,255.jpg,14,3,6,5
00256,256.jpg,15,8,3,4
00257,257.jpg,12,6,4,2
00258,258.jpg,11,2,5,4
00259,259.jpg,8,3,3,2
00260,260.jpg,12,4,4,4
00261,261.jpg,12,6,5,1
00262,262.jpg,8,2,3,3
00263,263.jpg,7,2,2,3
00264,264.jpg,11,4,4,3
00265,265.jpg,12,7,1,4
00266,266.jpg,9,4,2,3
00267,267.jpg,9,3,2,4
00268,268.jpg,7,2,2,3
00269,269.jpg,9,3,3,3
00270,270.jpg,8,3,3,2
00271,271.jpg,8,1,5,2
00272,272.jpg,11,3,5,3
00273,273.jpg,11,1,7,3
00274,274.jpg,14,7,6,1
00275,275.jpg,13,5,7,1
00276,276.jpg,14,8,5,1
00277,277.jpg,13,3,9,1
00278,278.jpg,14,7,5,2
00279,279.jpg,13,6,3,4
00280,280.jpg,11,7,1,3
00281,281.jpg,9,6,1,2
00282,282.jpg,10,9,0,1
00283,283.jpg,11,6,4,1
00284,284.jpg,8,3,3,2
00285,285.jpg,5,4,0,1
00286,286.jpg,6,4,1,1
00287,287.jpg,11,9,0,2
00288,288.jpg,12,9,2,1
00289,289.jpg,4,2,1,1
00290,290.jpg,11,5,3,3
00291,291.jpg,13,5,4,4
00292,292.jpg,14,8,2,4
00293,293.jpg,12,7,1,4
00294,294.jpg,13,6,3,4
00295,295.jpg,17,6,6,5
00296,296.jpg,20,7,8,5
00297,297.jpg,14,9,3,2
00298,298.jpg,10,3,4,3
00299,299.jpg,12,6,4,2
00300,300.jpg,8,1,4,3
00301,301.jpg,12,8,2,2
00302,302.jpg,12,3,4,5
00303,303.jpg,13,5,4,4
00304,304.jpg,10,2,4,4
00305,305.jpg,9,2,4,3
00306,306.jpg,5,1,1,3
00307,307.jpg,6,1,2,3
00308,308.jpg,9,1,5,3
00309,309.jpg,7,0,5,2
00310,310.jpg,8,1,3,4
00311,311.jpg,9,4,1,4
00312,312.jpg,9,3,5,1
00313,313.jpg,13,2,7,4
00314,314.jpg,12,2,8,2
00315,315.jpg,12,5,5,2
00316,316.jpg,11,5,5,1
00317,317.jpg,13,5,5,3
00318,318.jpg,16,8,7,1
00319,319.jpg,8,4,3,1
00320,320.jpg,10,3,4,3
00321,321.jpg,12,7,2,3
00322,322.jpg,14,3,10,1
00323,323.jpg,15,15,0,0
00324,324.jpg,15,15,0,0
00325,325.jpg,13,12,1,0
00326,326.jpg,13,12,1,0
00327,327.jpg,10,9,1,0
00328,328.jpg,13,12,1,0
00329,329.jpg,15,8,7,0
00330,330.jpg,9,9,0,0
00331,331.jpg,14,14,0,0
00332,332.jpg,12,12,0,0
00333,333.jpg,10,10,0,0
00334,334.jpg,16,15,1,0
00335,335.jpg,16,14,2,0
00336,336.jpg,11,11,0,0
00337,337.jpg,16,14,2,0
00338,338.jpg,12,11,1,0
00339,339.jpg,14,14,0,0
00340,340.jpg,7,2,4,1
00341,341.jpg,20,16,4,0
00342,342.jpg,18,16,2,0
00343,343.jpg,11,10,0,1
00344,344.jpg,18,18,0,0
00345,345.jpg,15,13,1,1
00346,346.jpg,14,13,1,0
00347,347.jpg,18,15,2,1
00348,348.jpg,12,12,0,0
00349,349.jpg,11,8,3,0
00350,350.jpg,14,9,2,3
00351,351.jpg,8,2,4,2
00352,352.jpg,16,15,1,0
00353,353.jpg,10,10,0,0
00354,354.jpg,17,16,1,0
00355,355.jpg,13,12,1,0
00356,356.jpg,11,10,1,0
00357,357.jpg,14,13,1,0
00358,358.jpg,14,14,0,0
00359,359.jpg,9,7,2,0
00360,360.jpg,11,10,0,1
00361,361.jpg,10,8,2,0
00362,362.jpg,9,3,3,3
00363,363.jpg,18,17,1,0
00364,364.jpg,18,15,3,0
00365,365.jpg,16,13,3,0
00366,366.jpg,14,13,1,0
00367,367.jpg,16,14,2,0
00368,368.jpg,14,11,2,1
00369,369.jpg,16,9,6,1
00370,370.jpg,20,15,4,1
00371,371.jpg,12,12,0,0
00372,372.jpg,10,10,0,0
00373,373.jpg,9,4,1,4
00374,374.jpg,13,13,0,0
00375,375.jpg,21,20,1,0
00376,376.jpg,21,18,3,0
00377,377.jpg,18,14,2,2
00378,378.jpg,17,15,1,1
00379,379.jpg,18,16,1,1
00380,380.jpg,12,11,1,0
00381,381.jpg,16,15,1,0
00382,382.jpg,12,9,2,1
00383,383.jpg,18,16,2,0
00384,384.jpg,4,0,2,2
00385,385.jpg,15,12,3,0
00386,386.jpg,18,16,2,0
00387,387.jpg,15,14,1,0
00388,388.jpg,13,12,1,0
00389,389.jpg,14,13,1,0
00390,390.jpg,16,16,0,0
00391,391.jpg,12,12,0,0
00392,392.jpg,16,16,0,0
00393,393.jpg,13,12,1,0
00394,394.jpg,13,11,1,1
00395,395.jpg,13,6,5,2
00396,396.jpg,17,17,0,0
00397,397.jpg,9,9,0,0
00398,398.jpg,13,12,1,0
00399,399.jpg,17,15,2,0
00400,400.jpg,20,16,3,1
00401,401.jpg,8,8,0,0
00402,402.jpg,16,14,2,0
00403,403.jpg,7,6,1,0
00404,404.jpg,15,14,1,0
00405,405.jpg,10,9,1,0
00406,406.jpg,7,0,4,3
00407,407.jpg,14,14,0,0
00408,408.jpg,16,15,0,1
