Original_Filename,Total_Vehicles,Motorcycles,Cars,Trucks,TruckCar_Percentage
1058.jpg,9,1,5,3,88.88888888888889
1059.jpg,12,9,2,1,25.0
1060.jpg,5,2,1,2,60.0
1061.jpg,12,5,3,4,58.333333333333336
1062.jpg,16,6,4,6,62.5
1063.jpg,16,8,4,4,50.0
1064.jpg,12,3,3,6,75.0
1065.jpg,12,7,1,4,41.66666666666667
1066.jpg,12,6,2,4,50.0
1067.jpg,7,2,2,3,71.42857142857143
1068.jpg,9,4,3,2,55.55555555555556
1069.jpg,9,5,3,1,44.44444444444444
1070.jpg,14,4,6,4,71.42857142857143
1071.jpg,10,4,4,2,60.0
1072.jpg,10,4,4,2,60.0
1073.jpg,8,6,1,1,25.0
1074.jpg,11,6,2,3,45.45454545454545
1075.jpg,16,13,0,3,18.75
1076.jpg,10,6,1,3,40.0
1077.jpg,7,3,3,1,57.14285714285714
1078.jpg,6,1,4,1,83.33333333333334
1079.jpg,5,1,3,1,80.0
1080.jpg,12,9,0,3,25.0
1081.jpg,10,2,6,2,80.0
1082.jpg,12,5,6,1,58.333333333333336
1083.jpg,11,5,5,1,54.54545454545454
1084.jpg,10,7,2,1,30.0
1085.jpg,10,5,4,1,50.0
1086.jpg,10,2,6,2,80.0
1087.jpg,8,1,6,1,87.5
1088.jpg,7,2,4,1,71.42857142857143
1089.jpg,10,3,6,1,70.0
1090.jpg,12,4,6,2,66.66666666666666
1091.jpg,5,3,0,2,40.0
1092.jpg,13,6,5,2,53.84615384615385
1093.jpg,6,0,4,2,100.0
1094.jpg,10,5,2,3,50.0
1095.jpg,9,3,2,4,66.66666666666666
1096.jpg,13,3,6,4,76.92307692307693
1097.jpg,4,0,3,1,100.0
1098.jpg,7,2,4,1,71.42857142857143
1099.jpg,11,4,3,4,63.63636363636363
1100.jpg,6,0,3,3,100.0
1101.jpg,10,2,4,4,80.0
1102.jpg,9,5,2,2,44.44444444444444
1103.jpg,4,2,1,1,50.0
1104.jpg,11,7,3,1,36.36363636363637
1105.jpg,9,7,0,2,22.22222222222222
1106.jpg,9,6,1,2,33.33333333333333
1107.jpg,10,7,1,2,30.0
1108.jpg,9,7,2,0,22.22222222222222
1109.jpg,6,4,2,0,33.33333333333333
1110.jpg,11,7,3,1,36.36363636363637
1111.jpg,7,5,1,1,28.57142857142857
1112.jpg,6,5,1,0,16.666666666666664
1113.jpg,6,3,1,2,50.0
1114.jpg,5,4,1,0,20.0
1115.jpg,3,2,1,0,33.33333333333333
1116.jpg,3,1,1,1,66.66666666666666
1117.jpg,7,6,0,1,14.285714285714285
1118.jpg,4,3,0,1,25.0
1119.jpg,3,2,1,0,33.33333333333333
1120.jpg,7,6,1,0,14.285714285714285
1121.jpg,7,5,2,0,28.57142857142857
1122.jpg,6,5,1,0,16.666666666666664
1123.jpg,6,5,1,0,16.666666666666664
1124.jpg,10,7,2,1,30.0
1125.jpg,8,4,4,0,50.0
1126.jpg,7,5,1,1,28.57142857142857
1127.jpg,7,6,1,0,14.285714285714285
1128.jpg,2,0,2,0,100.0
1129.jpg,5,2,3,0,60.0
1130.jpg,10,3,5,2,70.0
1131.jpg,10,6,4,0,40.0
1132.jpg,5,3,1,1,40.0
1133.jpg,7,6,1,0,14.285714285714285
1134.jpg,7,6,1,0,14.285714285714285
1135.jpg,8,4,2,2,50.0
1136.jpg,6,3,3,0,50.0
1137.jpg,4,3,1,0,25.0
1138.jpg,3,0,3,0,100.0
1139.jpg,3,2,1,0,33.33333333333333
1140.jpg,6,5,1,0,16.666666666666664
1141.jpg,6,4,2,0,33.33333333333333
1142.jpg,4,1,3,0,75.0
1143.jpg,4,1,2,1,75.0
1144.jpg,4,3,1,0,25.0
